group,datasetName,datasetId,formula,adduct,chemMod,ion,mz,msm,fdr,rhoSpatial,rhoSpectral,rhoChaos,moleculeNames,moleculeIds,minIntensity,maxIntensity,totalIntensity,offSample,rawOffSampleProb,isomerIons,isobarIons
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C19H38O4,M+Cl,,C19H38O4+Cl-,365.2463717,0.896998,0.05,0.922211549,0.972670992,0.99998885,"Glycerol 1-hexadecanoate, MG(0:0/16:0/0:0), MG(16:0/0:0/0:0), MG(0:0/i-16:0/0:0), MG(i-16:0/0:0/0:0)","HMDB0031074, HMDB0011533, HMDB0011564, HMDB0072873, HMDB0072844",0,452103.2813,133292272,TRUE,0.531369686,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C4H6O5,M-H,,C4H6O5-H-,133.0142076,0.896599,0.05,0.898869098,0.997576261,0.999898148,"L-Malic acid, Velcorin, Malic acid, D-Malic acid","HMDB0000156, HMDB0032872, HMDB0000744, HMDB0031518",0,2398220.75,1551448320,FALSE,0.035153497,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C10H8N2O2,M-H,,C10H8N2O2-H-,187.0512618,0.863486,0.05,0.884882816,0.975854641,0.999964291,(-)-3-Cyanomethyl-3-hydroxy-1H-indol-2(3H)-one,HMDB0038633,0,2007186.875,485036288,TRUE,0.941670835,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C2H7NO3S,M-H,,C2H7NO3S-H-,124.0073481,0.859065,0.05,0.862568198,0.996078777,0.999858922,Taurine,HMDB0000251,0,1781433.875,1202104320,FALSE,0.12088041,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C9H12N2O6,M+Cl,,C9H12N2O6+Cl-,279.0388982,0.842664,0.05,0.854335012,0.986420022,0.999918406,"Uridine, Pseudouridine","HMDB0000296, HMDB0000767",0,189732.6094,175789536,FALSE,0.048040181,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C17H26O4,M-H,,C17H26O4-H-,293.1757936,0.840169,0.05,0.855975067,0.981620264,0.999912457,"Tanacetol A, Gingerol, Nordihydrocapsiate, Phytuberin, Myrsinone","HMDB0035722, HMDB0005783, HMDB0034779, HMDB0035754, HMDB0040646",0,356128.5313,96620624,TRUE,0.949110329,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C21H42O4,M+Cl,,C21H42O4+Cl-,393.2776719,0.836011,0.05,0.934078558,0.895086749,0.999915745,"Glycerol 1-octadecanoate, MG(18:0/0:0/0:0), MG(0:0/18:0/0:0), MG(0:0/i-18:0/0:0), MG(i-18:0/0:0/0:0)","HMDB0031075, HMDB0011131, HMDB0011535, HMDB0072877, HMDB0072842",0,243110.3281,27746052,TRUE,0.503844678,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C11H20N2O4,M-H,,C11H20N2O4-H-,243.1349914,0.83383,0.05,0.843443019,0.988619627,0.999982757,"Hydroxyprolyl-Isoleucine, Hydroxyprolyl-Leucine, Isoleucyl-Hydroxyproline, Leucyl-Hydroxyproline","HMDB0028866, HMDB0028867, HMDB0028908, HMDB0028930",0,660410.75,127295144,TRUE,0.965651751,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C11H21NO3,M+Cl,,C11H21NO3+Cl-,250.1215056,0.815101,0.05,0.843592897,0.966270356,0.999953153,N-Nonanoylglycine,HMDB0013279,0,389350.75,72932400,TRUE,0.971045434,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C2H8NO4P,M+Cl,,C2H8NO4P+Cl-,175.9884563,0.813452,0.05,0.822795406,0.988718702,0.999924214,O-Phosphoethanolamine,HMDB0000224,0,98293.33594,102245672,FALSE,0.012627411,,C6H5O4+Cl-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C21H44NO7P,M-H,,C21H44NO7P-H-,452.2782236,0.801041,0.05,0.812196812,0.986278687,0.999985347,"LysoPE(0:0/16:0), LysoPE(16:0/0:0)","HMDB0011473, HMDB0011503",0,335431.5625,155800800,FALSE,0.01851345,,C28H39NO4-H-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C16H26O4,M-H,,C16H26O4-H-,281.1757936,0.794782,0.05,0.809114751,0.982487047,0.999795606,Lactapiperanol C,HMDB0033630,0,161372.2344,39713256,TRUE,0.977258801,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C10H7NO3,M-H,,C10H7NO3-H-,188.0352774,0.782137,0.05,0.793073915,0.986233028,0.999975734,"Kynurenic acid, 1-Nitronaphthalene-5,6-oxide, 1-Nitronaphthalene-7,8-oxide","HMDB0000715, HMDB0060331, HMDB0060332",0,740124.75,145690608,TRUE,0.962235868,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C6H8O7,M-H,,C6H8O7-H-,191.0196869,0.776532,0.05,0.783562797,0.99149492,0.999528398,"D-threo-Isocitric acid, Citric acid, Isocitric acid, Diketogulonic acid, 2,3-Diketo-L-gulonate, (1R,2R)-Isocitric acid, D-Glucaro-1,4-lactone","HMDB0001874, HMDB0000094, HMDB0000193, HMDB0005971, HMDB0006511, HMDB0033717, HMDB0041862",0,168829.7344,256122192,FALSE,0.002988477,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C18H30O3S,M-H,,C18H30O3S-H-,325.1842499,0.775784,0.05,0.813111575,0.954410329,0.999668057,"2-Dodecylbenzenesulfonic acid, 4-Dodecylbenzenesulfonic Acid","HMDB0031031, HMDB0059915",0,164796.3438,18661882,FALSE,0.43023026,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C6H8O6,M-H,,C6H8O6-H-,175.0247723,0.775478,0.05,0.780685199,0.993543981,0.999784963,"Ascorbic acid, D-Glucurono-6,3-lactone, 1,2,3-Propanetricarboxylic acid","HMDB0000044, HMDB0006355, HMDB0031193",0,337615.7188,444063840,FALSE,0.006091936,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C22H32O2,M+Cl,,C22H32O2+Cl-,363.2095923,0.76779,0.05,0.806607253,0.952725069,0.999108662,"Docosahexaenoic acid, Neogrifolin, Grifolin, Retinol acetate, (Z,Z)-2-Methyl-5-(8,11,14-pentadecatrienyl)-1,3-benzenediol","HMDB0002183, HMDB0030053, HMDB0030446, HMDB0035185, HMDB0038908",0,22944.74219,115039328,FALSE,0.000184173,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C10H10N2O3S,M-H,,C10H10N2O3S-H-,237.0338972,0.758653,0.05,0.774627276,0.979390086,0.99998709,6-(2-amino-2-carboxyethyl)-4-hydroxybenzothiazole,HMDB0062793,0,613882.9375,130884456,TRUE,0.974487066,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C16H20N2O5,M+Cl,,C16H20N2O5+Cl-,355.1065838,0.754529,0.05,0.772207915,0.977259976,0.999842605,Formylfusarochromanone,HMDB0038970,0,147239.25,138257968,FALSE,0.030381961,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C5H7NO3,M-H,,C5H7NO3-H-,128.0352774,0.753875,0.05,0.757875008,0.994743918,0.999977734,"Pyroglutamic acid, Pyrrolidonecarboxylic acid, Pyrroline hydroxycarboxylic acid, N-Acryloylglycine, 1-Pyrroline-4-hydroxy-2-carboxylate, dimethadione, (3R,5S)-1-pyrroline-3-hydroxy-5-carboxylic Acid","HMDB0000267, HMDB0000805, HMDB0001369, HMDB0001843, HMDB0002234, HMDB0061093, HMDB0062585",0,1081331.5,570130432,FALSE,0.257917672,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C10H18O4,M-H,,C10H18O4-H-,201.1131934,0.752739,0.05,0.763275575,0.986309646,0.999884422,"Sebacic acid, R-2-Hydroxy-3-methylbutanoic acid 3-Methylbutanoyl, Oxalic acid dibutyl ester, N-lactoyl-Isoeucine, 2-Ethylsuberic acid, Heptylmalonic acid, 3-Methylazelaic acid","HMDB0000792, HMDB0031510, HMDB0040196, HMDB0062180, HMDB0059708, HMDB0059719, HMDB0059754",0,124374.4844,128337896,FALSE,6.90711E-05,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C3H9O6P,M-H,,C3H9O6P-H-,171.0063588,0.750201,0.05,0.753831987,0.995367577,0.99981526,"Glycerol 3-phosphate, Beta-Glycerophosphoric acid","HMDB0000126, HMDB0002520",0,1318228.125,1555697152,FALSE,0.006670514,,C4H8O5+Cl-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C11H16O5,M-H,,C11H16O5-H-,227.0924579,0.750161,0.05,0.761537551,0.985382262,0.999674309,Propyl propane thiosulfonate,HMDB0032496,0,338969.2813,63615780,TRUE,0.960072339,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C7H6O4,M-H,,C7H6O4-H-,153.019293,0.746866,0.05,0.754700874,0.989650096,0.999967494,"Protocatechuic acid, Gentisic acid, 2-Pyrocatechuic acid, 2,6-Dihydroxybenzoic acid, 3,5-Dihydroxybenzoic acid, 2,4-Dihydroxybenzoic acid, Patulin, 2,4,6-trihydroxybenzaldehyde","HMDB0001856, HMDB0000152, HMDB0000397, HMDB0013676, HMDB0013677, HMDB0029666, HMDB0034299, HMDB0125090",0,747326.5625,138100576,TRUE,0.979409516,,C4H8NO3+Cl-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C21H41O6P,M+Cl,,C21H41O6P+Cl-,455.2334376,0.746417,0.05,0.781021042,0.955893874,0.999791325,CPA(18:0/0:0),HMDB0007004,0,157501.2031,92362192,FALSE,0.011306497,,C20H42O7P2-H-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C10H8N2O2,M+Cl,,C10H8N2O2+Cl-,223.0279396,0.743884,0.05,0.770304897,0.965878907,0.999816009,(-)-3-Cyanomethyl-3-hydroxy-1H-indol-2(3H)-one,HMDB0038633,0,260457.5625,55133136,TRUE,0.975576222,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C10H19NO3,M+Cl,,C10H19NO3+Cl-,236.1058555,0.742299,0.05,0.780496071,0.951216468,0.999836242,"Capryloylglycine, Valproylglycine, N-(5-Methyl-3-oxohexyl)alanine, N-Acetylaminooctanoic acid","HMDB0000832, HMDB0013116, HMDB0041540, HMDB0059745",0,264249,48148556,TRUE,0.97220856,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C11H16O4,M+Cl,,C11H16O4+Cl-,247.074221,0.741207,0.05,0.765228831,0.969044637,0.999550303,"3,4-Methyleneazelaic acid",HMDB0059744,0,143822.6406,29974354,TRUE,0.966102719,,"C10H19NO2S2-H-, C12H12N4+Cl-, C12H13ClN4-H-"
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C6H6O6,M+Cl,,C6H6O6+Cl-,208.9858,0.74083,0.05,0.756064309,0.98035666,0.999484224,"cis-Aconitic acid, trans-Aconitic acid, Dehydroascorbic acid","HMDB0000072, HMDB0000958, HMDB0001264",0,28941.69336,78745864,FALSE,0.00080266,,C7H10OS2+Cl-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C10H18O4,M+Cl,,C10H18O4+Cl-,237.0898711,0.739264,0.05,0.766234013,0.96509136,0.999700168,"Sebacic acid, R-2-Hydroxy-3-methylbutanoic acid 3-Methylbutanoyl, Oxalic acid dibutyl ester, N-lactoyl-Isoeucine, 2-Ethylsuberic acid, Heptylmalonic acid, 3-Methylazelaic acid","HMDB0000792, HMDB0031510, HMDB0040196, HMDB0062180, HMDB0059708, HMDB0059719, HMDB0059754",0,39657.16797,52327180,FALSE,0.000102916,,C10H20O2S+Cl-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C5H4N4O,M-H,,C5H4N4O-H-,135.0311951,0.737135,0.05,0.741145421,0.994655181,0.999933659,"Hypoxanthine, Allopurinol","HMDB0000157, HMDB0014581",0,588779.875,549621248,FALSE,0.013346186,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C17H26O4,M+Cl,,C17H26O4+Cl-,329.1524714,0.734659,0.05,0.785394481,0.935419224,0.999981215,"Tanacetol A, Gingerol, Nordihydrocapsiate, Phytuberin, Myrsinone","HMDB0035722, HMDB0005783, HMDB0034779, HMDB0035754, HMDB0040646",0,288776.4688,65233732,TRUE,0.95236963,,C14H24N2O7-H-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C8H15NO6,M+Cl,,C8H15NO6+Cl-,256.0592993,0.720897,0.05,0.740886381,0.973221262,0.999792531,"N-Acetylgalactosamine, N-Acetyl-D-glucosamine, Beta-N-Acetylglucosamine, N-Acetyl-b-D-galactosamine, N-Acetylmannosamine, Avenic acid B, N-Acetylmannosamine-6P, Aldehydo-N-acetyl-D-glucosamine, Aldehydo-N-acetyl-D-mannosamine","HMDB0000212, HMDB0000215, HMDB0000803, HMDB0000853, HMDB0001129, HMDB0038751, HMDB0062500, HMDB0062641, HMDB0062724",0,90524.64063,100576624,FALSE,0.028323757,,C9H11N5O2+Cl-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C20H42O7P2,M-H,,C20H42O7P2-H-,455.233261,0.718668,0.05,0.729491748,0.98536922,0.999790174,Phytyl diphosphate,HMDB0011116,0,157501.2031,92145832,FALSE,0.010589936,,C21H41O6P+Cl-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C5H10N2O3,M-H,,C5H10N2O3-H-,145.0618265,0.713262,0.05,0.716439345,0.995648529,0.999916045,"L-Glutamine, Ureidoisobutyric acid, D-Glutamine, Alanylglycine","HMDB0000641, HMDB0002031, HMDB0003423, HMDB0006899",0,566372.9375,508679744,FALSE,0.054865565,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C11H20N2O3,M+Cl,,C11H20N2O3+Cl-,263.1167546,0.7083,0.05,0.846937084,0.836632476,0.999612422,"Isoleucylproline, Leucylproline","HMDB0011174, HMDB0011175",0,195581.125,36981244,TRUE,0.97539717,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C17H28O3S,M-H,,C17H28O3S-H-,311.1685998,0.707438,0.05,0.742822117,0.952758432,0.999587936,N-Undecylbenzenesulfonic acid,HMDB0032549,0,126403.7813,16214128,FALSE,0.479329586,,"C12H26N4O3+Cl-, C17H27NO2+Cl-"
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C5H4N4O2,M+Cl,,C5H4N4O2+Cl-,187.0027875,0.705724,0.05,0.716907931,0.984645518,0.999751082,"Xanthine, Oxypurinol, 6,8-Dihydroxypurine","HMDB0000292, HMDB0000786, HMDB0001182",0,63547.59375,72378568,FALSE,0.00389637,,C4H9NO3S+Cl-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C6H10O6,M+Cl,,C6H10O6+Cl-,213.0171001,0.704278,0.05,0.727416683,0.968421354,0.999761495,"Gluconolactone, 2-Keto-3-deoxy-D-gluconic acid, 3-Keto-b-D-galactose, Galactonolactone, L-Gulonolactone, D-Arabino-hexos-2-ulose","HMDB0000150, HMDB0001353, HMDB0001385, HMDB0002541, HMDB0003466, HMDB0029932",0,202733.4844,125392432,FALSE,0.049708758,,"C7H14OS2+Cl-, C5H11O7P-H-, C6H12O4S+Cl-"
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C7H14OS2,M+Cl,,C7H14OS2+Cl-,213.0179686,0.694438,0.05,0.730222187,0.95121288,0.999770817,Methylthiomethyl 2-methylbutanethiolate,HMDB0031714,0,181008.875,119438216,FALSE,0.059449226,,"C5H11O7P-H-, C6H10O6+Cl-, C6H12O4S+Cl-"
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C2H8NO4P,M-H,,C2H8NO4P-H-,140.0117785,0.693137,0.05,0.69559708,0.996611572,0.999850542,O-Phosphoethanolamine,HMDB0000224,0,1680102.5,1277799808,FALSE,0.017047627,,"C6H5O4-H-, C3H7NO3+Cl-"
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C19H34O12,M+Cl,,C19H34O12+Cl-,489.1743886,0.674637,0.05,0.729512376,0.9248221,0.999952086,Butyl (S)-3-hydroxybutyrate [arabinosyl-(1->6)-glucoside],HMDB0039214,0,662885.9375,99482160,TRUE,0.928545713,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C17H26O5,M-H,,C17H26O5-H-,309.1707082,0.670815,0.1,0.691576296,0.970162653,0.999812043,"3-Hydroxy-6,8-dimethoxy-7(11)-eremophilen-12,8-olide, Valdiate","HMDB0040756, HMDB0040980",0,127354.4375,35415856,TRUE,0.983751595,,"C12H26N4O3+Cl-, C19H24N2O2-H-"
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C2H6O5S,M-H,,C2H6O5S-H-,140.9862783,0.663791,0.1,0.671595473,0.988654881,0.999720843,(2-hydroxyethoxy)sulfonic acid,HMDB0131295,0,737442.375,145977072,TRUE,0.97278738,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C10H16N2O7,M-H,,C10H16N2O7-H-,275.0884352,0.661299,0.1,0.669260946,0.988724386,0.999372433,"gamma-Glutamylglutamic acid, Glutamylglutamic acid, Thymidine glycol","HMDB0011737, HMDB0028818, HMDB0042036",0,41801.67188,123939192,FALSE,0.000660531,,C13H18O4+Cl-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C10H18N2O4,M+Cl,,C10H18N2O4+Cl-,265.0960191,0.654908,0.05,0.704517672,0.929800004,0.999767273,"Hydroxyprolyl-Valine, Valyl-Hydroxyproline","HMDB0028876, HMDB0029128",0,110853.4375,21569144,TRUE,0.978842616,,C17H14O3-H-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C3H9O6P,M+Cl,,C3H9O6P+Cl-,206.9830365,0.649449,0.05,0.665241114,0.976976275,0.999267326,"Glycerol 3-phosphate, Beta-Glycerophosphoric acid","HMDB0000126, HMDB0002520",0,16643.29688,43156200,FALSE,0.002865608,,C4H11O3PS+Cl-
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C21H43O7P,M+Cl,,C21H43O7P+Cl-,473.2440023,0.638102,0.05,0.673180406,0.947953277,0.999935624,"LysoPA(0:0/18:0), LysoPA(18:0/0:0)","HMDB0007850, HMDB0007854",0,119681.5313,62303428,FALSE,0.002785205,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C7H11NO4,M+Cl,,C7H11NO4+Cl-,208.0381699,0.637377,0.05,0.684076608,0.931776992,0.999953034,N-Acetyl-L-glutamate 5-semialdehyde,HMDB0006488,0,186620.4844,42988004,TRUE,0.964229763,,
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C11H11ClN2O2,M+Cl,,C11H11ClN2O2+Cl-,273.0202674,0.635937,0.05,0.729619948,0.871852535,0.999710136,"L-4-Chlorotryptophan, (Â±)-6-Chlorotryptophan","HMDB0030400, HMDB0033557",0,141252.6875,95228576,FALSE,0.010313103,,"C9H18OS3+Cl-, C8H12O8+Cl-"
UTHSA,1-0_Sec5_S5_SM_Neg_20220511_GZ,2022-05-12_06h14m15s,C8H14N2O3,M+Cl,,C8H14N2O3+Cl-,221.0698044,0.632666,0.05,0.67904769,0.931922917,0.999757176,"Alanyl-Proline, Prolyl-Alanine","HMDB0028695, HMDB0029010",0,145661.7813,26107262,TRUE,0.972008705,,C15H10O2-H-
